Artist ID,Name,Nationality,Birth Year,Work Count
314,Theo H. Ballmer,Swiss,1902.0,5
315,Alexander Bally,American,1938.0,1
316,John F. Balossi,American,1931.0,1
317,Balthus (Baltusz Klossowski de Rola),French,1908.0,12
318,Lewis Baltz,American,1945.0,36
319,Thomas Bamberger,American,1948.0,3
320,McDonald (Mackey Jeffries) Bane,American,1928.0,1
321,Colette Bangert,American,1934.0,1
322,Walter Darby Bannard,American,1934.0,11
323,John Banting,British,1902.0,4
324,Rudolf Baranik,American,1920.0,3
325,Vladimir Baranoff-Rossiné,Ukrainian,1888.0,51
327,Anthony Barboza,American,1944.0,7
329,Miquel Barcelo,Spanish,1957.0,2
330,Peter Bardazzi,American,1943.0,1
331,J. Baric,French,1825.0,1
332,Richard Baringer,American,1921.0,1
333,George Barker,Australian,1942.0,1
334,Walter William Barker,American,1921.0,3
335,Ernst Barlach,German,1870.0,102
336,George Barnard,American,1819.0,66
337,Cyril H. Barnes,American,,1
338,Matthew Rackham Barnes,American,1880.0,1
339,Robert Barnes,American,1934.0,1
342,Will Barnet,American,1911.0,20
343,Tina Barney,American,1945.0,20
344,Hannelore Baron,American,1926.0,4
345,Martin Barooshian,American,1929.0,1
347,Steve Barraclough,British,,2
348,Maurice Barraud,Swiss,1889.0,3
349,Susan Barron,American,1947.0,1
350,Thomas F. Barrow,American,1938.0,3
351,D. F. Barry,American,1854.0,1
352,Robert Barry,American,1936.0,40
353,Robert Bart,American,1923.0,1
354,Frances Barth,American,1946.0,1
355,Ruodi Barth,Swiss,1921.0,4
356,"Ralph Bartholomew, Jr.",American,1907.0,1
357,Jennifer Bartlett,American,1941.0,24
358,Robert Bartlett,British,1922.0,1
359,Carlo Bartoli,Italian,1931.0,1
360,Luigi Bartolini,Italian,1892.0,5
361,Joseph Bartscherer,American,1954.0,2
362,Gianfranco Baruchello,Italian,1924.0,2
363,Héctor Basaldua,Argentine,1895.0,1
364,Bernard Baschet,French,1917.0,1
365,François Baschet,French,1920.0,1
366,Georg Baselitz,German,1938.0,145
368,Mati Basis,Israeli,1933.0,1
369,Leonard Baskin,American,1922.0,264
370,Jean-Michel Basquiat,American,1960.0,12
371,Joel Bass,American,1943.0,5
372,Saul Bass,American,1920.0,13
373,Giampiero Bassi,Italian,1926.0,1
374,Miriam Bat-Yosef,German,1931.0,2
377,Josef Bato,Hungarian,1888.0,2
378,John Battan,American,1943.0,2
379,Wall Batterton,British,1932.0,2
380,Dora M. Batty,British,1900.0,2
381,Eugen Batz,German,1905.0,10
382,"Harry W. Batz, Jr.",American,,1
383,André Bauchant,French,1873.0,2
384,Karl Bauer,German,1868.0,1
385,Rudolph Bauer,American,1889.0,1
386,Mary Bauermeister,American,1934.0,6
387,Bauhaus,German,,2
388,Marilyn Baum,American,1939.0,1
390,Hans Theo Baumann,German,1924.0,1
391,Otto Baumberger,Swiss,1889.0,5
392,Willi Baumeister,German,1889.0,48
393,Lothar Baumgarten,German,1944.0,3
395,Edward Bawden,British,1903.0,1
396,Glen Baxter,British,,6
397,Iain Baxter&,Canadian,1936.0,2
398,Hippolyte Bayard,French,1801.0,26
399,Herbert Bayer,American,1900.0,155
